"id","size","vocal","walktime","shed","strength","drool","affection","intelligence","social","age","percentgooddog"
225,70,41,15,14,40,2.5,83,41,51,14,150
226,80,46,65,85,78,4.7,59,49,32,11,150
227,58,43,20,9,48,1.8,81,64,45,13,150
228,79,29,25,19,61,2,79,57,NA,13,150
229,76,15,55,25,47,1,81,63,88,6,150
230,81,21,55,23,50,1,84,62,96,5,150
231,35,82,20,84,20,0.6,23,26,26,7,150
232,44,84,50,48,58,2.7,49,41,79,12,150
233,79,61,75,91,83,3.6,49,48,61,NA,150
234,57,39,20,17,44,1.4,81,39,47,13,150
235,76,28,25,12,41,2.1,84,52,44,15,150
236,35,75,20,73,21,0.5,96,19,24,7,150
237,45,68,40,56,54,3.1,48,32,80,15,150
238,83,25,20,12,50,2.1,78,46,46,15,150
239,77,38,20,NA,69,2.1,79,47,NA,NA,150
240,27,82,35,57,38,2.7,42,38,84,12,150
241,46,19,20,18,38,1,80,49,65,11,150
242,83,31,20,12,52,2.1,84,55,NA,14,150
243,28,74,15,67,20,0.5,25,22,20,10,150
244,65,26,45,21,50,1,80,58,91,9,150
245,46,79,50,60,55,2.4,40,39,86,12,150
246,46,804,45,60,47,4,42,39,82,15,150
247,73,31,15,11,36,1.9,87,41,53,15,150
248,72,63,60,61,67,3.9,66,44,41,10,150
249,44,15,70,52,62,1.1,70,83,NA,9,150
250,38,21,30,12,46,0.9,85,42,63,11,150
251,85,46,55,89,76,4.2,NA,56,61,10,150
252,51,59,60,NA,54,3.8,44,43,91,13,150
253,86,60,65,72,78,4.3,62,48,43,NA,150
254,81,13,50,22,52,1,86,58,80,11,150
255,58,26,45,NA,37,1,88,65,81,12,150
256,24,88,20,70,20,0.4,26,23,21,7,150
257,39,8,55,42,87,1,58,75,69,8,150
258,32,83,20,65,13,0.5,15,15,20,12,150
259,101,53,80,85,83,3.9,74,58,54,9,150
260,44,11,65,49,72,1,69,83,74,7,150
261,73,42,20,11,48,1.7,81,55,48,14,150
262,94,47,55,NA,79,3,61,45,53,10,150
263,43,27,40,11,52,1,76,36,77,7,150
264,103,44,65,76,82,4.3,70,51,58,6,150
265,44,69,40,39,54,4.2,56,30,79,NA,150
266,68,33,20,18,54,1.8,73,52,56,13,150
267,95,23,20,21,61,NA,84,51,NA,13,150
268,81,57,70,73,83,NA,46,55,45,7,150
269,60,6,80,67,94,1.1,47,77,79,5,150
270,66,21,40,17,NA,1,NA,49,81,8,150
271,94,54,60,90,80,5.3,64,62,52,10,150
272,41,10,80,NA,78,0.9,67,75,80,5,150
273,58,7,90,55,80,0.9,48,75,88,4,150
274,86,25,20,18,67,2.1,84,46,48,15,150
275,64,7,80,51,82,1.1,67,79,81,6,150
276,32,81,50,46,42,3.3,29,26,77,13,150
277,74,NA,20,12,53,2.2,77,48,54,13,150
278,76,56,35,81,72,3.3,53,43,43,11,150
279,66,41,20,18,53,1.9,86,54,45,13,150
280,73,33,20,8,64,1.6,79,55,52,12,150
281,66,24,20,15,46,1.6,84,44,39,15,150
282,62,11,90,50,76,1.1,71,84,93,7,150
283,34,11,90,46,89,0.9,57,82,87,3,150
284,90,48,60,80,73,4,60,59,43,10,150
285,94,41,60,67,84,4.2,68,60,51,8,150
286,109,41,60,94,79,3.9,63,53,52,11,150
287,68,40,25,10,64,1.6,82,55,57,12,150
288,66,23,20,16,53,2,82,47,41,13,150
289,42,7,70,43,73,1.2,57,79,73,7,150
290,96,33,50,79,72,4.7,53,37,44,10,150
291,80,32,20,17,42,2.3,76,58,47,14,150
292,51,23,35,15,49,0.9,74,42,84,6,150
293,97,50,55,78,73,3.1,61,57,41,12,150
294,95,51,65,78,81,4.1,67,53,59,8,150
295,39,81,20,72,17,0.5,22,18,NA,12,150
296,88,23,20,NA,50,2,75,42,48,13,150
297,30,12,75,44,76,0.9,69,75,70,8,150
298,53,3,70,59,74,1,56,78,78,8,150
299,590,14,35,15,45,1.1,77,46,73,9,150
300,37,11,70,53,72,0.9,60,74,82,7,150
301,60,300,30,15,48,1,NA,53,71,11,150
302,80,28,20,13,58,2.1,81,46,56,13,150
303,48,8,70,56,77,0.7,56,76,69,7,150
304,84,43,20,19,59,2.3,80,62,52,14,150
305,88,48,65,75,92,3.3,59,49,48,7,150
306,38,8,95,NA,74,0.9,66,79,82,7,150
307,26,83,20,59,16,0.4,11,17,22,10,150
308,61,6,750,65,86,1.1,67,77,82,7,150
309,77,31,20,14,47,1.5,75,49,43,13,150
310,83,51,55,83,92,3.3,68,50,58,7,150
311,42,26,40,13,50,1.1,76,52,83,11,150
312,29,79,20,70,18,0.5,18,21,23,12,150
313,96,40,50,79,87,3.8,65,52,57,9,150
314,23,81,20,64,16,0.5,10,22,19,10,150
315,107,45,60,79,83,4.8,61,52,58,11,150
316,49,73,45,NA,58,2.7,38,31,95,12,150
317,58,18,45,19,46,0.8,81,58,77,8,150
318,73,50,45,73,67,4,69,49,36,11,150
319,101,55,50,79,93,4.2,64,56,47,9,150
320,32,82,15,82,NA,0.5,NA,28,21,10,150
321,96,51,60,74,83,4.2,59,57,55,9,150
322,71,NA,45,21,61,1,81,57,85,8,150
323,95,55,70,75,82,3.9,81,59,67,9,150
324,53,8,95,48,68,1,62,87,91,6,150
325,82,45,45,71,76,4.4,70,40,47,11,150
326,110,35,65,80,84,4,57,40,53,7,150
327,80,45,200,15,55,2.1,82,57,52,14,150
328,43,35,15,12,47,1.8,78,42,44,15,150
329,74,59,55,82,71,3.2,61,53,47,8,150
330,34,74,20,72,22,0.5,23,18,21,10,150
331,63,15,35,20,47,0.9,159,NA,85,10,150
332,86,62,50,86,75,3.3,69,52,51,9,150
333,59,6,80,59,NA,1,56,77,77,6,150
334,77,11,45,17,66,1.1,NA,46,74,9,150
335,28,63,25,54,47,3.2,37,19,81,14,150
336,31,88,25,67,16,0.5,18,22,25,5,150
337,85,32,20,12,53,1.7,75,46,59,12,150
338,90,58,60,80,69,3.4,64,51,51,8,150
339,85,14,20,16,48,2,82,51,52,15,150
340,47,11,85,59,72,1,59,81,90,5,150
341,50,23,35,16,58,0.9,73,49,85,4,150
342,36,10,60,42,73,1.1,64,76,81,6,150
343,89,47,65,74,87,4.3,125,41,50,9,150
344,58,19,40,19,45,1,70,50,75,12,150
345,54,10,75,37,72,1.1,61,82,76,9,150
346,63,30,20,12,43,2.1,78,50,43,13,150
347,37,8,75,42,82,1,54,87,82,7,150
348,51,11,65,49,75,0.9,56,77,81,7,150
349,46,9,70,45,78,1,69,78,NA,6,150
350,29,79,20,68,23,0.5,18,14,19,5,150
351,32,70,15,NA,36,3.4,53,18,72,16,150
352,101,NA,65,75,85,3.6,57,64,47,11,150
353,84,23,20,17,50,2.2,78,60,51,15,150
354,71,40,25,11,42,2.1,84,60,52,14,150
355,90,52,55,82,83,3.6,53,45,51,11,150
356,80,23,20,14,51,1.8,77,49,49,14,150
357,32,10,80,NA,69,1.1,68,83,73,7,150
358,86,55,55,67,86,3.6,NA,54,56,9,150
359,64,27,50,21,46,1,81,NA,NA,4,150
360,70,NA,20,11,46,2.1,72,44,60,13,150
361,77,25,20,18,54,1.8,NA,51,48,14,150
362,31,7,65,46,61,1,61,78,79,8,150
363,71,37,20,17,47,2.1,81,55,53,13,150
364,61,7,90,52,87,1,53,78,93,3,150
365,76,55,50,91,76,3.6,NA,43,56,NA,150
366,56,7,70,61,69,1.1,69,79,77,8,150
367,62,21,35,18,53,1,72,48,NA,7,150
368,66,35,20,20,62,2.2,79,46,50,13,150
369,46,15,80,53,80,1,45,80,88,1,150
370,27,79,20,70,14,0.5,18,14,13,8,150
371,760,13,40,19,53,1.2,84,50,86,13,150
372,33,NA,40,60,41,3.2,32,28,70,12,150
373,16,10,70,52,71,0.9,51,65,73,6,150
374,73,35,20,15,50,1.9,76,42,55,13,150
375,85,24,20,16,57,2.2,NA,53,54,13,150
376,80,27,25,24,57,2.5,80,47,47,14,150
377,89,57,55,75,82,4.6,55,36,NA,8,150
378,66,18,400,20,42,1,82,51,80,11,150
379,90,31,20,12,55,2.1,76,NA,52,14,150
380,76,384,20,12,41,1.9,83,46,45,14,150
381,66,27,20,9,44,2.3,82,48,42,13,150
382,28,78,20,84,20,0.5,26,21,18,12,150
383,100,52,55,83,86,4.7,54,58,52,7,150
384,57,23,35,14,63,1,79,52,80,5,150
385,68,33,20,16,47,2.4,NA,45,48,15,150
386,39,61,35,59,62,2.5,39,31,84,14,150
387,39,74,20,68,26,0.5,15,16,19,10,150
388,81,28,20,26,51,1.6,82,64,45,13,150
389,99,55,650,82,85,4.2,57,59,NA,8,150
390,340,75,20,69,26,0.6,22,21,21,7,150
391,23,81,25,65,14,0.5,18,22,19,10,150
392,48,19,40,16,43,1,78,46,69,8,150
393,44,12,95,58,69,0.8,69,78,75,3,150
394,84,40,20,16,43,2,82,54,49,13,150
395,42,23,25,10,33,1,NA,36,67,12,150
396,50,8,70,57,75,1,59,83,84,6,150
397,70,18,20,12,53,2.2,82,53,53,13,150
398,106,44,70,75,78,4.6,54,49,60,7,150
399,38,65,45,53,52,3,39,29,76,15,150
400,72,17,20,16,53,1.8,83,45,47,14,150
401,65,20,50,16,49,1,82,55,86,10,150
402,61,17,35,15,45,1.1,83,57,81,11,150
403,100,49,65,71,64,4.5,70,54,47,11,150
404,76,35,20,17,46,1.9,76,55,55,13,150
405,28,80,20,64,22,0.5,16,19,19,10,150
406,46,NA,100,46,77,1,59,83,83,3,150
407,43,77,45,44,46,3.4,26,21,84,12,150
408,70,32,20,18,52,1.8,73,52,51,14,150
409,41,64,50,39,47,3.9,28,36,86,14,150
410,77,25,20,18,50,1.5,74,39,47,11,150
411,39,8,75,44,75,0.9,52,80,79,8,150
412,39,11,80,41,72,1.1,54,78,86,6,150
413,64,41,15,14,48,2.1,80,35,39,13,150
414,56,38,20,13,41,1.7,79,52,47,12,150
415,106,45,55,84,81,4.6,66,48,63,8,150
416,54,8,75,55,77,1.1,58,80,83,7,150
417,92,53,60,93,83,4.2,60,62,53,10,150
418,84,44,50,81,78,4.5,58,49,52,10,150
419,86,25,20,16,44,2.2,85,39,56,14,150
420,90,29,25,17,NA,2.6,74,53,60,13,150
421,86,54,70,87,82,3.4,44,50,42,6,150
422,73,39,20,13,62,NA,81,48,47,13,150
423,46,7,65,47,79,1.1,59,67,81,6,150
424,84,51,65,84,83,3.6,140,39,48,8,150
425,64,37,20,14,38,2,85,57,43,15,150
426,60,7,80,62,74,1,64,78,74,6,150
427,65,19,35,10,65,0.9,83,55,90,8,150
428,NA,78,20,92,23,0.4,18,23,26,11,150
429,46,12,85,60,85,0.9,55,79,79,5,150
430,66,40,20,14,40,1.9,77,48,38,13,150
431,96,51,60,75,72,4.1,60,53,58,11,150
432,74,39,20,13,352,2.2,NA,47,50,14,150
433,70,39,20,12,47,1.6,83,45,49,12,150
434,97,57,60,76,84,4.2,63,51,63,7,150
435,52,18,45,NA,52,0.8,79,50,79,10,150
436,37,70,NA,54,59,3,43,29,70,13,150
437,28,83,25,72,16,0.5,14,22,20,7,150
438,70,36,15,10,51,1.9,80,51,52,13,150
439,44,67,35,42,38,2.8,49,22,73,15,150
440,60,6,80,46,77,0.9,77,76,90,6,150
441,31,81,20,69,23,0.5,25,17,20,12,150
442,69,17,45,23,52,1,83,48,84,7,150
443,68,31,20,14,52,2.2,NA,51,53,13,150
444,26,77,20,85,17,0.5,22,16,21,7,150
445,65,13,30,25,52,1.2,85,40,78,11,150
446,90,15,20,18,45,2.5,81,56,53,14,150
447,28,10,75,39,72,1.1,50,75,80,7,150
448,102,43,60,81,86,4.9,51,44,46,9,150
449,44,7,90,42,86,1,58,84,87,6,150
450,58,16,30,23,57,1.1,80,38,80,9,150
451,24,NA,15,68,19,0.5,22,18,12,13,150
452,46,66,55,49,49,2.7,43,31,76,13,150
453,63,15,40,16,52,0.9,80,58,87,12,150
454,52,26,400,14,55,1,86,51,77,6,150
455,840,36,20,13,48,2,78,50,52,13,150
456,66,15,45,18,57,1.1,75,43,88,7,150
457,71,23,40,20,38,0.9,81,46,79,9,150
458,45,10,95,52,81,0.9,57,77,77,4,150
459,72,25,45,17,50,0.9,76,57,92,10,150
460,66,23,50,16,45,1.2,80,56,91,7,150
461,33,9,80,46,70,1.2,55,74,NA,8,150
462,111,48,75,90,86,4.7,61,58,60,7,150
463,79,46,65,82,80,3.3,55,47,41,9,150
464,78,57,60,82,82,4.1,61,54,50,7,150
465,28,78,NA,61,19,0.5,24,26,22,8,150
466,44,9,80,45,70,0.9,62,83,74,7,150
467,97,52,80,85,84,4,133,51,66,7,150
468,80,64,45,83,88,4,57,50,49,7,150
469,67,17,35,12,47,1.2,76,54,79,9,150
470,74,37,15,15,53,2.1,79,56,41,14,150
471,32,82,20,82,31,0.5,13,26,25,7,150
472,52,8,80,48,632,1,72,71,70,5,150
473,25,74,20,72,26,0.4,18,5,16,8,150
474,38,13,70,52,74,1,58,73,75,9,150
475,37,64,35,59,57,3.4,50,30,83,13,150
476,44,61,45,52,50,2.1,40,40,84,14,150
477,28,82,20,64,22,0.4,16,20,22,8,150
478,56,13,90,56,81,1.1,59,92,76,6,150
479,54,17,40,16,41,0.8,69,48,79,10,150
480,39,86,20,86,144,0.5,21,23,24,12,150
481,25,76,20,69,20,0.6,15,16,12,11,150
482,45,70,50,NA,59,2.7,NA,30,77,12,150
483,92,25,20,22,42,2.2,75,51,48,15,150
484,76,37,20,14,57,1.6,78,45,56,13,150
485,83,58,60,78,85,4.3,65,48,51,8,150
486,95,22,15,23,45,2.3,87,55,55,15,150
487,80,39,20,14,44,2.1,91,58,52,14,150
488,38,60,65,43,74,0.8,60,71,71,10,150
489,74,30,25,11,43,2.2,84,42,45,14,150
490,103,49,65,97,76,4.2,60,58,54,9,150
491,91,24,25,18,57,2.1,73,59,53,12,150
492,66,19,35,19,58,1.1,NA,50,77,5,150
493,33,83,20,79,23,0.5,21,24,24,11,150
494,83,27,20,17,66,2.3,81,44,56,12,150
495,101,17,20,23,50,2.6,NA,47,45,13,150
496,87,62,55,83,63,4.3,54,46,40,11,150
497,77,56,70,84,84,3.6,61,53,56,7,150
498,62,21,40,13,44,1,80,47,74,8,150
499,83,49,40,75,70,4.7,62,43,51,11,150
500,86,62,65,86,70,4,68,47,57,6,150
501,69,30,20,19,58,1.7,80,51,58,12,150
502,49,13,90,44,68,1,132,77,85,5,150
503,79,30,20,17,52,2,80,44,49,NA,150
504,71,32,20,13,47,2,79,51,47,14,150
505,47,23,30,11,53,1,82,42,80,9,150
506,87,48,60,84,81,3.9,59,44,45,13,150
507,43,73,45,56,36,2.6,37,27,76,14,150
508,61,14,35,17,51,0.9,82,39,74,10,150
509,NA,NA,20,10,50,2.3,84,52,49,13,150
510,31,78,20,67,25,0.5,24,18,29,9,150
511,30,73,35,50,41,3.2,40,27,81,14,150
512,42,13,80,64,78,0.9,58,83,85,5,150
513,48,6,80,53,65,1.2,61,78,79,7,150
514,53,23,50,9,49,1.1,73,53,81,4,150
515,95,50,60,82,86,3.5,59,50,67,3,150
516,32,11,55,36,66,1,56,73,75,8,150
517,58,15,95,52,80,1,54,87,94,NA,150
518,73,13,45,16,57,1,85,60,81,8,150
519,38,74,25,71,23,0.5,NA,19,23,9,150
520,47,76,45,57,50,3.8,34,32,74,16,150
521,68,20,NA,9,47,1.1,83,52,75,10,150
522,41,68,55,51,55,3.2,41,30,82,13,150
523,82,21,20,21,44,2.1,77,57,59,13,150
524,65,35,20,9,46,1.7,NA,59,50,13,150
525,61,29,20,12,50,2.1,77,58,46,14,150
526,102,49,40,86,84,3.8,52,37,45,9,150
527,102,47,55,85,NA,3.9,49,46,50,9,150
528,98,39,65,88,82,4.2,59,61,54,9,150
529,50,15,30,13,55,1.1,79,50,71,13,150
530,34,67,30,54,45,3.5,40,37,78,15,150
531,53,43,20,15,39,1.6,80,57,53,13,150
532,29,78,20,71,24,0.5,17,19,21,8,150
533,44,12,65,51,70,0.9,56,73,67,8,150
534,43,12,85,59,70,0.9,53,76,76,4,150
535,38,4,70,59,86,1.1,56,71,75,7,150
536,25,81,20,71,19,0.4,17,14,19,7,150
537,51,10,85,47,78,0.9,52,85,83,3,150
538,68,18,35,20,40,1.2,79,41,78,10,150
539,36,12,85,38,77,1,NA,82,81,5,150
